"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"1","BE Patterson","7dfbcfff","BE Patterson",8112,NA,NA,381308,NA,NA,955561,NA,NA,NA,NA,NA,"Bridget Patterson","Australia","Bridget E Patterson","April 12, 1994","27y 223d","Right hand bat","Right arm fast","Batter",NA
"2","TT Beaumont","b2664905","TT Beaumont",5413,NA,NA,297074,NA,NA,187982,NA,NA,NA,545,NA,"Tammy Beaumont","England","Tamsin Tilley Beaumont","March 11, 1991, Dover, Kent","30y 255d","Right hand bat",NA,"Opening batter","Wicketkeeper"
"3","CM Edwards","d4188b60","CM Edwards",NA,NA,NA,53696,NA,NA,NA,NA,NA,NA,544,NA,"Charlotte Edwards","England","Charlotte Marie Edwards","December 17, 1979, Huntingdon","41y 339d","Right hand bat","Legbreak","Top order batter",NA
"4","TM McGrath","ca5acfa4","TM McGrath",8111,NA,NA,381311,NA,NA,955115,NA,NA,NA,4138,NA,"Tahlia McGrath","Australia","Tahlia May McGrath","November 10, 1995","26y 11d","Right hand bat","Right arm medium","Allrounder",NA
"5","SJ Coyte","a5f488bc","SJ Coyte",5843,NA,NA,374934,NA,NA,372495,NA,NA,NA,463,NA,"Sarah Coyte","Australia","Sarah Jane Coyte","March 30, 1991, Camden, New South Wales","30y 236d","Right hand bat","Right arm medium","Bowler",NA
"6","SJ Coyte","36769c31","SJ Coyte (2)",NA,NA,NA,4886,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Coyte","Australia","Scott James Coyte","March 07, 1985, Liverpool, Sydney, New South Wales","36y 259d","Left hand bat","Right arm fast medium","Bowler",NA
"7","SFM Devine","de69af96","SFM Devine",5858,NA,NA,231740,NA,NA,73099,NA,NA,NA,478,NA,"Sophie Devine","New Zealand","Sophie Frances Monique Devine","September 01, 1989, Wellington","32y 81d","Right hand bat","Right arm medium","Batting allrounder",NA
"8","S Nitschke","3032933c","S Nitschke",NA,NA,NA,53613,NA,NA,NA,NA,NA,NA,NA,NA,"Shelley Nitschke","Australia","Shelley Nitschke","December 03, 1976, Adelaide, South Australia","44y 353d","Left hand bat","Slow left arm orthodox",NA,NA
"9","TJ McPharlin","595e1ee7","TJ McPharlin",8114,NA,NA,275508,NA,NA,237863,NA,NA,NA,NA,NA,"Tegan McPharlin","Australia","Tegan Jayne McPharlin","August 07, 1988, Balaklava, South Australia","33y 106d","Right hand bat","Right arm medium","Wicketkeeper","Wicketkeeper"
"10","A Price","99e26cea","A Price",8110,NA,NA,381309,NA,NA,955120,NA,NA,NA,NA,NA,"Alex Price","Australia","Alexandra Elizabeth Price","November 05, 1995","26y 16d","Right hand bat","Right arm medium","Bowler",NA
"11","ML Schutt","17608a6f","ML Schutt",5981,NA,NA,420314,NA,NA,913864,NA,NA,NA,997,NA,"Megan Schutt","Australia","Megan Schutt","January 15, 1993, Adelaide, South Australia","28y 310d","Right hand bat","Right arm fast medium","Bowler",NA
"12","A Wellington","9b3bcca4","A Wellington",7738,NA,NA,381305,NA,NA,955122,NA,NA,NA,NA,NA,"Amanda-Jade Wellington","Australia","Amanda-Jade Wellington","May 29, 1997, Adelaide, South Australia","24y 176d","Right hand bat","Legbreak","Bowler",NA
"13","RH Priest","e6f0408a","RH Priest",5992,NA,NA,231305,NA,NA,73092,NA,NA,NA,1004,NA,"Rachel Priest","New Zealand","Rachel Holly Priest","June 13, 1985, New Plymouth, Taranaki","36y 161d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"14","KL Britt","b9e15440","KL Britt",NA,NA,NA,53675,NA,NA,NA,NA,NA,NA,NA,NA,"Kris Britt","Australia","Kris Lynsey Britt","April 13, 1983, Canberra, Australian Capital Territory","38y 222d","Right hand bat","Legbreak","Allrounder",NA
"15","GM Harris","72166006","GM Harris",7735,NA,NA,381268,NA,NA,955555,NA,NA,NA,NA,NA,"Grace Harris","Australia","Grace Margaret Harris","September 18, 1993","28y 64d","Right hand bat","Right arm offbreak","Allrounder",NA
"16","DN Wyatt","a139c379","DN Wyatt",NA,NA,NA,254168,NA,NA,113029,NA,NA,NA,557,NA,"Danni Wyatt","England","Danielle Nicole Wyatt","April 22, 1991, Stoke-on-Trent, Staffordshire","30y 213d","Right hand bat","Right arm offbreak","Top order batter",NA
"17","S Molineux","99e23670","S Molineux",8119,NA,NA,944373,NA,NA,1232589,NA,NA,NA,4043,NA,"Sophie Molineux","Australia","Sophie Molineux","January 17, 1998","23y 308d","Left hand bat","Slow left arm orthodox","Bowler",NA
"18","M Strano","f57d5dbb","M Strano",7065,NA,NA,382231,NA,NA,401242,NA,NA,NA,4034,NA,"Molly Strano","Australia","Molly Strano","October 05, 1992","29y 47d","Right hand bat","Right arm offbreak","Bowler",NA
"19","LMM Tahuhu","60471339","LMM Tahuhu",5993,NA,NA,380929,NA,NA,394707,NA,NA,NA,1005,NA,"Lea Tahuhu","New Zealand","Lea-Marie Maureen Tahuhu","September 23, 1990, Christchurch, Canterbury","31y 59d","Right hand bat","Right arm medium fast","Bowler",NA
"20","G Wareham","f0b4e47d","G Wareham",8244,NA,NA,946057,NA,NA,1381142,NA,NA,NA,4041,NA,"Georgia Wareham","Australia","Georgia Wareham","May 26, 1999, Terang, Victoria","22y 179d","Right hand bat","Legbreak","Bowler",NA
"21","NM Goodwin","4241dc19","NM Goodwin",NA,NA,NA,53673,NA,NA,NA,NA,NA,NA,NA,NA,"Nicole Goodwin","Australia","Nicole Maree Goodwin","September 14, 1984, Newcastle, New South Wales","37y 68d","Right hand bat","Left arm medium",NA,NA
"22","NA Plane","29ed56ec","NA Plane",NA,NA,NA,947817,NA,NA,NA,NA,NA,NA,NA,NA,"Natalie Plane","Australia","Natalie Anne Plane",NA,NA,NA,NA,NA,NA
"23","M Brown","78bec461","M Brown",10766,NA,NA,1061621,NA,NA,1232564,NA,NA,NA,NA,NA,"Maitlan Brown","Australia","Maitlan Joy Brown","June 05, 1997","24y 169d","Right hand bat","Right arm medium","Bowler",NA
"24","SW Bates","89bbc67a","SW Bates",5854,NA,NA,54565,NA,NA,45878,NA,NA,NA,474,NA,"Suzie Bates","New Zealand","Suzannah Wilson Bates","September 16, 1987, Dunedin, Otago","34y 66d","Right hand bat","Right arm medium","Allrounder",NA
"25","EJ Villani","cde96d97","EJ Villani",5982,NA,NA,275442,NA,NA,250207,NA,NA,NA,998,NA,"Elyse Villani","Australia","Elyse Jane Villani","October 06, 1989, Melbourne, Victoria","32y 46d","Right hand bat","Right arm fast medium","Middle order batter",NA
"26","KH Brunt","6a434bd3","KH Brunt",5496,NA,NA,53906,NA,NA,67090,NA,NA,NA,547,NA,"Katherine Brunt","England","Katherine Helen Brunt","July 02, 1985, Barnsley","36y 142d","Right hand bat","Right arm medium fast","Bowling allrounder",NA
"27","NE Bolton","dd883071","NE Bolton",7054,NA,NA,267611,NA,NA,94002,NA,NA,NA,1758,NA,"Nicole Bolton","Australia","Nicole Elizabeth Bolton","January 17, 1989, Subiaco, Perth, Western Australia","32y 308d","Left hand bat","Right arm offbreak","Opening batter",NA
"28","H Graham","99812d10","H Graham",8083,NA,NA,546629,NA,NA,1165067,NA,NA,NA,NA,NA,"Heather Graham","Australia","Heather Graham","October 05, 1996","25y 47d","Right hand bat","Right arm medium fast","Allrounder",NA
"29","LK Ebsary","884375bf","LK Ebsary",NA,NA,NA,53682,NA,NA,NA,NA,NA,NA,NA,NA,"Lauren Ebsary","Australia","Lauren Kaye Ebsary","March 15, 1983, Snowtown, South Australia","38y 251d","Right hand bat","Right arm medium",NA,NA
"30","HK Matthews","d32cf49a","HK Matthews",8188,NA,NA,474308,NA,NA,1012579,NA,NA,NA,3126,NA,"Hayley Matthews","West Indies","Hayley Kristen Matthews","March 19, 1998","23y 247d","Right hand bat","Right arm offbreak","Opening batter",NA
"31","G Redmayne","324b9eee","G Redmayne",8057,NA,NA,381197,NA,NA,955534,NA,NA,NA,NA,NA,"Georgia Redmayne","Australia","Georgia Prue Redmayne","December 08, 1993, Lismore, New South Wales","27y 348d","Left hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"32","HC Knight","4ba0289e","HC Knight",5499,NA,NA,358259,NA,NA,228177,NA,NA,NA,552,NA,"Heather Knight","England","Heather Clare Knight","December 26, 1990, Plymouth","30y 330d","Right hand bat","Right arm offbreak","Middle order batter",NA
"33","AE Satterthwaite","72b7ed1e","AE Satterthwaite",5867,NA,NA,233007,NA,NA,73098,NA,NA,NA,487,NA,"Amy Satterthwaite","New Zealand","Amy Ella Satterthwaite","October 07, 1986, Christchurch, Canterbury","35y 45d","Left hand bat","Right arm offbreak","Top order batter",NA
"34","EA Burns","2e0b6638","EA Burns",8077,NA,NA,275447,NA,NA,326631,NA,NA,NA,NA,NA,"Erin Burns","Australia","Erin Alexandra Burns","June 22, 1988, Wollongong, NSW","33y 152d","Right hand bat","Right arm offbreak","Allrounder",NA
"35","CL Hall","6026e2ae","CL Hall",8074,NA,NA,275479,NA,NA,261489,NA,NA,NA,NA,NA,"Corinne Hall","Australia","Corinne Louise Hall","October 12, 1987, Gosford, New South Wales","34y 40d","Right hand bat","Right arm offbreak","Allrounder",NA
"36","SK Moloney","a0bc8dc1","SK Moloney",8007,NA,NA,586869,NA,NA,1753492,NA,NA,NA,NA,NA,"Sasha Moloney","Australia","Sasha K Moloney","June 14, 1992","29y 160d","Right hand bat","Right arm offbreak","Batter",NA
"37","E Thompson","a7c3c366","E Thompson",8076,NA,NA,430847,NA,NA,900587,NA,NA,NA,NA,NA,"Emma Thompson","Australia","Emma Thompson",NA,NA,"Right hand bat","Right arm medium","Batter",NA
"38","V Pyke","cb937b2d","V Pyke",NA,NA,NA,382168,NA,NA,NA,NA,NA,NA,NA,NA,"Veronica Pyke","Australia","Veronica Pyke","November 04, 1981","40y 17d","Right hand bat","Left arm medium",NA,NA
"39","B Hepburn","df04fc4f","B Hepburn",8008,NA,NA,437254,NA,NA,913885,NA,NA,NA,NA,NA,"Brooke Hepburn","Australia","Brooke Louise Hepburn","April 19, 1990, Launceston, Tasmania","31y 216d","Right hand bat","Right arm medium","Bowler",NA
"40","K Fryett","0d19fa13","K Fryett",NA,NA,NA,275526,NA,NA,NA,NA,NA,NA,NA,NA,"Katelyn Fryett","Australia","Katelyn Fryett","May 28, 1992","29y 177d","Right hand bat","Right arm fast medium",NA,NA
"41","MM Lanning","27e003ce","MM Lanning",5849,NA,NA,329336,NA,NA,250897,NA,NA,NA,469,NA,"Meg Lanning","Australia","Meghann Moira Lanning","March 25, 1992, Singapore","29y 241d","Right hand bat","Right arm medium","Top order batter",NA
"42","EJ Inglis","b0ca6975","EJ Inglis",NA,NA,NA,268890,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Inglis","Australia","Emma Jane Inglis","July 15, 1988, Fitzroy, Melbourne, Victoria","33y 129d","Right hand bat",NA,NA,"Wicketkeeper"
"43","JE Cameron","5ebc3941","JE Cameron",NA,NA,NA,268887,NA,NA,NA,NA,NA,NA,462,NA,"Jess Duffin","Australia","Jessica Evelyn Duffin","June 27, 1989, Williamstown, Victoria","32y 147d","Right hand bat","Legbreak googly","Batter","Wicketkeeper"
"44","HNK Jensen","b8cce99f","HNK Jensen",7227,NA,NA,439029,NA,NA,918645,NA,NA,NA,1792,NA,"Hayley Jensen","New Zealand","Hayley Nicole Kayla Jensen","October 07, 1992, Christchurch, Canterbury","29y 45d","Right hand bat","Right arm medium","Bowler",NA
"45","KM Mack","ef13bd20","KM Mack",7737,NA,NA,678831,NA,NA,959587,NA,NA,NA,NA,NA,"Katie Mack","Australia","Katie Maree Mack","September 14, 1993","28y 68d","Right hand bat","Legbreak","Batter",NA
"46","L Bardsley","ad061133","L Bardsley",NA,NA,NA,927259,NA,NA,NA,NA,NA,NA,NA,NA,"Lily Bardsley","Australia","Lily Bardsley",NA,NA,NA,NA,NA,NA
"47","D Hazell","ea8b65ab","D Hazell",NA,NA,NA,297079,NA,NA,NA,NA,NA,NA,NA,NA,"Danielle Hazell","England","Danielle Hazell","May 13, 1988, Durham","33y 192d","Right hand bat","Right arm offbreak","Bowler",NA
"48","E Kearney","437068a1","E Kearney",NA,NA,NA,683359,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Kearney","Australia","Emma Kearney","September 24, 1989","32y 58d","Right hand bat","Right arm medium",NA,NA
"49","A King","83558266","A King",8187,NA,NA,944393,NA,NA,955147,NA,NA,NA,NA,NA,"Alana King","Australia","Alana Maria King","November 22, 1995","25y 364d","Right hand bat","Legbreak","Allrounder",NA
"50","MJG Nielsen","e2410b5e","MJG Nielsen",NA,NA,NA,324246,NA,NA,NA,NA,NA,NA,483,NA,"Morna Nielsen","New Zealand","Morna Jessie Godwin Nielsen","February 24, 1990, Tauranga, Bay of Plenty","31y 270d","Right hand bat","Left arm medium, Slow left arm orthodox",NA,NA
"51","RL Haynes","d7c6b0fb","RL Haynes",5845,NA,NA,268889,NA,NA,97448,NA,NA,NA,465,NA,"Rachael Haynes","Australia","Rachael Louise Haynes","December 26, 1986, Carlton, Melbourne, Victoria","34y 330d","Left hand bat","Left arm medium","Batter",NA
"52","SR Taylor","92cf79a8","SR Taylor",5824,NA,NA,355359,NA,NA,317603,NA,NA,NA,573,NA,"Stafanie Taylor","West Indies","Stafanie Roxann Taylor","June 11, 1991, Spanish Town, Jamaica","30y 163d","Right hand bat","Right arm offbreak","Allrounder",NA
"53","SR Taylor","a9231c3f","Steven Ryan Taylor",NA,NA,NA,348133,NA,NA,288229,NA,1443,NA,NA,NA,"Steven Taylor","U.S.A.","Steven Ryan Taylor","November 09, 1993, Hialeah, Florida","28y 12d","Left hand bat","Right arm offbreak","Opening batter",NA
"54","AJ Blackwell","b9164a9b","AJ Blackwell",NA,NA,NA,53677,NA,NA,NA,NA,NA,NA,461,NA,"Alex Blackwell","Australia","Alexandra Joy Blackwell","August 31, 1983, Wagga Wagga, New South Wales","38y 82d","Right hand bat","Right arm medium","Allrounder",NA
"55","H Kaur","53cd8da6","H Kaur",NA,NA,NA,372317,NA,NA,313875,NA,NA,NA,559,NA,"Harmanpreet Kaur","India","Harmanpreet Kaur Bhullar","March 08, 1989, Punjab","32y 258d","Right hand bat","Right arm offbreak","Allrounder",NA
"56","AJ Healy","321644de","AJ Healy",5846,NA,NA,275486,NA,NA,187174,NA,NA,NA,466,NA,"Alyssa Healy","Australia","Alyssa Jean Healy","March 24, 1990, Gold Coast, Queensland","31y 242d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"57","EA Perry","be150fc8","EA Perry",5851,NA,NA,275487,NA,NA,187173,NA,NA,NA,471,NA,"Ellyse Perry","Australia","Ellyse Alexandra Perry","November 03, 1990, Wahroonga, Sydney, New South Wales","31y 18d","Right hand bat","Right arm fast medium","Allrounder",NA
"58","D van Niekerk","8c5775f3","D van Niekerk",5428,NA,NA,364413,NA,NA,338071,NA,NA,NA,430,NA,"Dane van Niekerk","South Africa","Dane van Niekerk","May 14, 1993, Pretoria","28y 191d","Right hand bat","Legbreak","Allrounder",NA
"59","A Gardner","bc969efb","A Gardner",7734,NA,NA,858809,NA,NA,1165029,NA,NA,NA,4128,NA,"Ashleigh Gardner","Australia","Ashleigh Katherine Gardner","April 15, 1997, Bankstown, Sydney, New South Wales","24y 220d","Right hand bat","Right arm offbreak","Allrounder",NA
"60","SJ McGlashan","af71535d","SJ McGlashan",NA,NA,NA,54527,NA,NA,NA,NA,NA,NA,480,NA,"Sara McGlashan","New Zealand","Sara Jade McGlashan","March 28, 1982, Napier, Hawke's Bay","39y 238d","Right hand bat",NA,NA,"Wicketkeeper"
"61","M Kapp","63e3b6b3","M Kapp",5426,NA,NA,351836,NA,NA,338010,NA,NA,NA,424,NA,"Marizanne Kapp","South Africa","Marizanne Kapp","January 04, 1990, Port Elizabeth, Cape Province","31y 321d","Right hand bat","Right arm medium","Allrounder",NA
"62","AR Reakes","13781d43","AR Reakes",8107,NA,NA,375260,NA,NA,373383,NA,NA,NA,NA,NA,"Angela Reakes","Australia","Angela Rose Reakes","December 27, 1990, Byron Bay, New South Wales","30y 329d","Right hand bat","Legbreak googly","Allrounder",NA
"63","SE Aley","5be043df","SE Aley",8093,NA,NA,53670,NA,NA,45794,NA,NA,NA,NA,NA,"Sarah Aley","Australia","Sarah Elizabeth Aley","June 03, 1984, Sydney, New South Wales","37y 171d","Right hand bat","Right arm medium","Bowler",NA
"64","LC Sthalekar","6bb7a785","LC Sthalekar",NA,NA,NA,53461,NA,NA,NA,NA,NA,NA,473,NA,"Lisa Sthalekar","Australia","Lisa Carprini Sthalekar","August 13, 1979, Poona (now Pune), Maharashtra, India","42y 100d","Right hand bat","Right arm offbreak",NA,NA
"65","EA Leys","a6d06180","EA Leys",NA,NA,NA,788471,NA,NA,NA,NA,NA,NA,NA,NA,"Emily Leys","Australia","Emily A Leys","February 18, 1993, Gunnedah, New South Wales","28y 276d","Right hand bat","Left arm medium",NA,NA
"66","EA Osborne","fe731c62","EA Osborne",5850,NA,NA,275483,NA,NA,326626,NA,NA,NA,470,NA,"Erin Osborne","Australia","Erin Alyse Osborne","June 27, 1989, Taree, New South Wales","32y 147d","Right hand bat","Right arm offbreak","Allrounder",NA
"67","RM Farrell","4ed7d23f","RM Farrell",NA,NA,NA,273004,NA,NA,NA,NA,NA,NA,1759,NA,"Rene Farrell","Australia","Rene Michele Farrell","January 13, 1987, Kogarah, Sydney, New South Wales","34y 312d","Right hand bat","Right arm fast medium",NA,NA
"68","NE Stalenberg","609c519e","NE Stalenberg",8059,NA,NA,592588,NA,NA,963176,NA,NA,NA,NA,NA,"Naomi Stalenberg","Australia","Naomi Elizabeth Stalenberg","April 18, 1994, Blacktown, New South Wales, Australia","27y 217d","Right hand bat","Right arm medium","Allrounder",NA
"69","BL Mooney","52d1dbc8","BL Mooney",7051,NA,NA,381258,NA,NA,913888,NA,NA,NA,1817,NA,"Beth Mooney","Australia","Bethany Louise Mooney","January 14, 1994, Shepparton, Victoria","27y 311d","Left hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"70","KL Short","712bd44c","KL Short",NA,NA,NA,225716,NA,NA,NA,NA,NA,NA,NA,NA,"Kirby Short","Australia","Kirby L Short","November 03, 1986, Brisbane, Queensland","35y 18d","Right hand bat","Right arm offbreak",NA,NA
"71","S Mandhana","5d2eda89","S Mandhana",NA,NA,NA,597806,NA,NA,384151,NA,NA,NA,4101,1809,"Smriti Mandhana","India","Smriti Shriniwas Mandhana","July 18, 1996, Bombay (now Mumbai), Maharashtra","25y 126d","Left hand bat","Right arm offbreak","Opening batter",NA
"72","DM Kimmince","d693012d","DM Kimmince",6031,NA,NA,263473,NA,NA,139528,NA,NA,NA,1760,NA,"Delissa Kimmince","Australia","Delissa Maree Kimmince","May 14, 1989, Warwick, Queensland","32y 191d","Right hand bat","Right arm medium","Bowler",NA
"73","DJS Dottin","53bee17f","DJS Dottin",NA,NA,NA,355349,NA,NA,317605,NA,NA,NA,577,NA,"Deandra Dottin","West Indies","Deandra Jalisa Shakira Dottin","June 21, 1991, Barbados","30y 153d","Right hand bat","Right arm fast medium","Allrounder",NA
"74","JL Jonassen","0475a86b","JL Jonassen",5848,NA,NA,374936,NA,NA,372498,NA,NA,NA,468,NA,"Jess Jonassen","Australia","Jessica Louise Jonassen","November 05, 1992, Emerald, Queensland","29y 16d","Left hand bat","Slow left arm orthodox","Bowler",NA
"75","JL Barsby","47bcaf7a","JL Barsby",7729,NA,NA,381263,NA,NA,955080,NA,NA,NA,NA,NA,"Jemma Barsby","Australia","Jemma Louise Barsby","October 04, 1995, Brisbane","26y 48d","Left hand bat","Right arm offbreak, Slow left arm orthodox","Allrounder",NA
"76","T Cooper","7fb35eba","T Cooper",NA,NA,NA,1066847,NA,NA,NA,NA,NA,NA,NA,NA,"Tess Cooper","Australia","Tess Cooper","September 27, 1996","25y 55d","Right hand bat","Right arm medium","Top order batter",NA
"77","H Birkett","852820e3","H Birkett",NA,NA,NA,702609,NA,NA,NA,NA,NA,NA,NA,NA,"Haidee Birkett","Australia","Haidee Birkett",NA,NA,"Right hand bat","Right arm medium fast",NA,NA
"78","SJ Johnson","d7b754d4","SJ Johnson",8095,NA,NA,542229,NA,NA,959560,NA,NA,NA,NA,NA,"Sammy-Jo Johnson","Australia","Sammy-Jo Johnson","November 05, 1992","29y 16d","Right hand bat","Right arm medium fast","Allrounder",NA
"79","HL Ferling","a594a6e0","HL Ferling",5980,NA,NA,381266,NA,NA,955088,NA,NA,NA,996,NA,"Holly Ferling","Australia","Holly Lee Ferling","December 22, 1995, Kingaroy, Queensland","25y 334d","Right hand bat","Right arm fast medium","Bowler",NA
"80","L Harris","36e2dc83","L Harris",8278,NA,NA,951163,NA,NA,1951821,NA,NA,NA,NA,NA,"Laura Kimmince","Australia","Laura May Kimmince","August 18, 1990","31y 95d","Right hand bat",NA,"Top order batter",NA
"81","NJ Carey","dff806f4","NJ Carey",7731,NA,NA,381217,NA,NA,955529,NA,NA,NA,892,NA,"Nicola Carey","Australia","Nicola Jane Carey","September 10, 1993, Sydney, New South Wales, Australia","28y 72d","Left hand bat","Right arm medium","Bowler",NA
"82","CJ Koski","0f00b4d7","CJ Koski",NA,NA,NA,419651,NA,NA,NA,NA,NA,NA,NA,NA,"Claire Koski","Australia","Claire Jennifer Koski","March 13, 1991, Campbelltown, Sydney, New South Wales","30y 253d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"83","IMHC Joyce","d3b4b8ed","IMHC Joyce",NA,NA,NA,54877,NA,NA,NA,NA,NA,NA,1766,NA,"Isobel Joyce","Ireland","Isobel Mary Helen Cecilia Joyce","July 25, 1983, Wicklow","38y 119d","Right hand bat","Left arm medium","Allrounder",NA
"84","M Phillips","216ae65f","M Phillips",NA,NA,NA,538291,NA,NA,NA,NA,NA,NA,NA,NA,"Meg Phillips","Australia","Meg Phillips","February 02, 1996","25y 293d","Right hand bat","Right arm medium",NA,NA
"85","SJ Elliott","13f8d4b5","SJ Elliott",NA,NA,NA,53638,NA,NA,NA,NA,NA,NA,NA,NA,"Sarah Elliott","Australia","Sarah Jane Elliott","January 04, 1982, Melbourne, Victoria","39y 321d","Right hand bat","Legbreak googly",NA,NA
"86","C Piparo","276f3dde","C Piparo",7052,NA,NA,437274,NA,NA,913989,NA,NA,NA,NA,NA,"Chloe Piparo","Australia","Chloe Piparo","September 05, 1994","27y 77d","Right hand bat","Right arm offbreak","Batter",NA
"87","NR Sciver","f3a18a0c","NR Sciver",5411,NA,NA,515905,NA,NA,500884,NA,NA,NA,1800,NA,"Nat Sciver","England","Natalie Ruth Sciver","August 20, 1992, Tokyo","29y 93d","Right hand bat","Right arm medium","Allrounder",NA
"88","M Hinkley","3812165d","M Hinkley",8097,NA,NA,944419,NA,NA,1381006,NA,NA,NA,NA,NA,"Mikayla Hinkley","Australia","Mikayla Carolyn Hinkley","May 01, 1998","23y 204d","Right hand bat","Right arm medium","Batter",NA
"89","K Sutherland","98797fb4","K Sutherland",NA,NA,NA,419652,NA,NA,NA,NA,NA,NA,NA,NA,"Kara Sutherland","Australia","Kara Sutherland","September 26, 1991, Ballina, New South Wales","30y 56d","Left hand bat","Left arm fast medium",NA,NA
"90","R Irvine","309212aa","R Irvine",NA,NA,NA,1066846,NA,NA,NA,NA,NA,NA,NA,NA,"Renee Irvine","Australia","Renee Irvine",NA,NA,NA,NA,NA,NA
"91","T Saville","2ef9bdcb","T Saville",NA,NA,NA,1071713,NA,NA,NA,NA,NA,NA,NA,NA,"Tabatha Saville","Australia","Tabatha Saville",NA,NA,NA,NA,NA,NA
"92","A Shrubsole","32497ecd","A Shrubsole",NA,NA,NA,254238,NA,NA,113874,NA,NA,NA,555,NA,"Anya Shrubsole","England","Anya Shrubsole","December 07, 1991, Bath, Somerset","29y 349d","Right hand bat","Right arm medium","Bowler",NA
"93","EL King","2708b41c","EL King",NA,NA,NA,382169,NA,NA,NA,NA,NA,NA,NA,NA,"Emma King","Australia","Emma Louise King","March 25, 1992, Subiaco, Perth, Western Australia","29y 241d","Right hand bat","Right arm offbreak","Bowler",NA
"94","L Cheatle","275dff85","L Cheatle",7733,NA,NA,858811,NA,NA,1232567,NA,NA,NA,3197,NA,"Lauren Cheatle","Australia","Lauren Roma Cheatle","November 06, 1998","23y 15d","Left hand bat","Left arm fast medium","Bowler",NA
"95","SL Bates","0816fb1e","SL Bates",7730,NA,NA,537440,NA,NA,959563,NA,NA,NA,NA,NA,"Samantha Bates","Australia","Samantha Lee Bates","November 29, 1995","25y 357d","Right hand bat","Slow left arm orthodox","Bowler",NA
"96","A Lanning","ba0a8d88","A Lanning",8098,NA,NA,381288,NA,NA,913879,NA,NA,NA,NA,NA,"Anna Lanning","Australia","Anna Lanning","March 25, 1994, Sydney, New South Wales","27y 241d","Right hand bat","Right arm offbreak","Middle order batter",NA
"97","L Winfield","5230a33d","L Winfield",NA,NA,NA,517572,NA,NA,201699,NA,NA,NA,3172,NA,"Lauren Winfield-Hill","England","Lauren Winfield-Hill","August 16, 1990, York","31y 97d","Right hand bat",NA,"Batter","Wicketkeeper"
"98","EJ Smith","05911fef","EJ Smith",NA,NA,NA,678843,NA,NA,NA,NA,NA,NA,NA,NA,"Emily Smith","Australia","Emily J Smith","January 09, 1995","26y 316d","Right hand bat","Right arm medium","Wicketkeeper","Wicketkeeper"
"99","KM Beams","fa8f9dc3","KM Beams",NA,NA,NA,275563,NA,NA,NA,NA,NA,NA,3165,NA,"Kristen Beams","Australia","Kristen Maree Beams","November 06, 1984, Launceston, Tasmania","37y 15d","Right hand bat","Legbreak googly","Bowler",NA
"100","GL Triscari","207ba61e","GL Triscari",NA,NA,NA,275580,NA,NA,NA,NA,NA,NA,NA,NA,"Gemma Triscari","Australia","Gemma Louise Triscari","January 24, 1990, Subiaco, Perth, Western Australia","31y 301d","Right hand bat","Left arm fast medium",NA,NA
"101","AE Jones","b05e45e4","AE Jones",5409,NA,NA,515874,NA,NA,308394,NA,NA,NA,806,NA,"Amy Jones","England","Amy Ellen Jones","June 13, 1993, Sutton Coldfield, West Midlands","28y 161d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"102","KJ Garth","0b69a844","KJ Garth",NA,NA,NA,418423,NA,NA,NA,NA,NA,NA,1769,NA,"Kim Garth","Ireland","Kimberley Jennifer Garth","April 25, 1996, Dublin","25y 210d","Right hand bat","Right arm medium fast","Opening batter",NA
"103","B Vakarewa","06f988b8","B Vakarewa",8245,NA,NA,944417,NA,NA,1381014,NA,NA,NA,NA,NA,"Belinda Vakarewa","Australia","Belinda Vakarewa","January 22, 1998","23y 303d","Right hand bat","Right arm fast medium","Bowler",NA
"104","M Carmichael","4b546c04","M Carmichael",10763,NA,NA,381218,NA,NA,955532,NA,NA,NA,NA,NA,"Mathilda Carmichael","Australia","Mathilda Carmichael","April 04, 1994","27y 231d","Right hand bat","Right arm fast medium","Batter",NA
"105","A Yates","f41c1218","A Yates",10835,NA,NA,1071808,NA,NA,1381146,NA,NA,NA,NA,NA,"Amy Yates","Australia","Amy Beach Yates",NA,NA,NA,NA,NA,NA
"106","JL Hunter","110839f2","JL Hunter",NA,NA,NA,53674,NA,NA,NA,NA,NA,NA,467,NA,"Julie Hunter","Australia","Julie Lauren Hunter","March 15, 1984, Box Hill, Melbourne, Victoria","37y 251d","Right hand bat","Right arm medium",NA,NA
