"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"168","G Voll","5c30d455","G Voll",12313,NA,NA,1215360,NA,NA,2337892,NA,NA,NA,NA,NA,"Georgia Voll","Australia","Georgia Voll",NA,NA,"Right hand bat","Right arm offbreak","Top order batter",NA
"169","N de Klerk","ea544967","N de Klerk",11224,NA,NA,939249,NA,NA,2155447,NA,NA,NA,4335,NA,"Nadine de Klerk","South Africa","Nadine de Klerk","January 16, 2000","21y 309d","Right hand bat","Right arm medium","Allrounder",NA
"170","S Day","c3d27d76","S Day",13455,NA,NA,1184973,NA,NA,2285347,NA,NA,NA,NA,NA,"Sophie Day","England","Sophie Day","September 02, 1998","23y 80d","Left hand bat","Slow left arm orthodox","Allrounder",NA
"171","CG Sippel","c2ac0db5","CG Sippel",11819,NA,NA,1167399,NA,NA,1806583,NA,NA,NA,NA,NA,"Courtney Grace Sippel","Australia","Courtney Grace Sippel","April 27, 2001","20y 208d","Left hand bat","Right arm medium","Bowler",NA
"172","CR Knott","d7ff1adc","CR Knott",10900,NA,NA,1164537,NA,NA,1806576,NA,NA,NA,NA,NA,"Charli Knott","Australia","Charli Rae Knott","November 29, 2002, Hervey Bay, Queensland","18y 357d","Right hand bat","Right arm offbreak","Batting allrounder",NA
"173","E Hughes","99bc6f9a","E Hughes",11544,NA,NA,1203797,NA,NA,2124536,NA,NA,NA,NA,NA,"Emma Hughes","Australia","Emma Hughes","November 13, 2000","21y 8d","Right hand bat","Right arm medium","Bowler",NA
"174","R Carter","c46571b9","R Carter",13468,NA,NA,1239710,NA,NA,955140,NA,NA,NA,NA,NA,"Rebecca Carter","Australia","Rebecca Lee Carter","July 16, 1996","25y 128d","Left hand bat","Right arm medium",NA,NA
"175","E Hayward","eacd9bb1","E Hayward",10944,NA,NA,1236786,NA,NA,2412239,NA,NA,NA,NA,NA,"Ella Hayward","Australia","Ella Hayward","September 08, 2003","18y 74d","Right hand bat","Right arm offbreak","Bowler",NA
"176","Shafali Verma","d8f59089","Shafali Verma",NA,NA,NA,1182523,NA,NA,2198993,NA,NA,NA,5824,NA,"Shafali Verma","India","Shafali Verma","January 28, 2004, Rohtak, Haryana","17y 297d","Right hand bat","Right arm offbreak","Opening batter",NA
"177","R Johnston","3cd107a7","R Johnston",NA,NA,NA,1282061,NA,NA,NA,NA,NA,NA,NA,NA,"Ruth Johnston","Australia","Ruth Johnston","February 28, 2003","18y 266d","Right hand bat","Right arm offbreak","Allrounder",NA
"178","RM Ghosh","721e0199","RM Ghosh",NA,NA,NA,1212830,NA,NA,2320897,NA,NA,NA,11082,19526,"Richa Ghosh","India","Richa Manabendra Ghosh","September 28, 2003, Siliguri, West Bengal","18y 54d","Right hand bat","Right arm medium","Wicketkeeper batter","Wicketkeeper"
"179","JI Rodrigues","cb08b611","JI Rodrigues",NA,NA,NA,883405,NA,NA,1558057,NA,NA,NA,5051,NA,"Jemimah Rodrigues","India","Jemimah Ivan Rodrigues","September 05, 2000, Mumbai, Maharashtra","21y 77d","Right hand bat","Right arm offbreak","Middle order batter",NA
"180","E Jones","971cb321","E Jones",NA,NA,NA,858807,NA,NA,NA,NA,NA,NA,NA,NA,"Eve Jones","England","Evelyn Jones","August 08, 1992, Shrewsbury, Shropshire","29y 105d","Left hand bat","Left arm medium","Allrounder",NA
"181","E Jones","4cf60e73","Emma Jones",NA,NA,NA,1100812,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Jones","England","Emma Jones",NA,NA,NA,NA,NA,NA
"182","A Learoyd","1757bedf","A Learoyd",12362,NA,NA,1231570,NA,NA,2407371,NA,NA,NA,NA,NA,"Anika Learoyd","Australia","Anika Learoyd","April 14, 2002","19y 221d","Right hand bat","Legbreak","Middle order batter",NA
"183","DB Sharma","201fef33","DB Sharma",NA,NA,NA,597811,NA,NA,1086219,NA,NA,NA,3192,NA,"Deepti Sharma","India","Deepti Bhagwan Sharma","August 24, 1997, Agra, Uttar Pradesh","24y 89d","Left hand bat","Right arm offbreak","Allrounder",NA
"184","IECM Wong","e5b17517","IECM Wong",NA,NA,NA,1146066,NA,NA,NA,NA,NA,NA,NA,NA,"Issy Wong","England","Isabelle Eleanor Chih Ming Wong","May 15, 2002, Chelsea, Middlesex","19y 190d","Right hand bat","Right arm fast medium","Bowler",NA
"185","L Mills","c35a0b8a","L Mills",NA,NA,NA,1203888,NA,NA,NA,NA,NA,NA,NA,NA,"Lilly Mills","Australia","Lilly Mills","January 02, 2001","20y 323d","Right hand bat","Right arm medium","Bowler",NA
"186","A Bosch","dcf0e8f4","A Bosch",NA,NA,NA,482506,NA,NA,NA,NA,NA,NA,17103,NA,"Anneke Bosch","South Africa","Anneke Elizabeth Bosch","August 17, 1993, East London","28y 96d","Right hand bat","Right arm medium","Batting allrounder",NA
